Date,Description,Amount
2025-03-01,Salary Credit NEFT HDFC,75000
2025-03-02,Swiggy Order #4521,-320
2025-03-02,Airtel Postpaid Bill,-599
2025-03-03,Zerodha SIP MF Transfer,-5000
2025-03-04,Zomato Food Delivery,-480
2025-03-05,Amazon Shopping,-1250
2025-03-06,Uber Cab Ride,-210
2025-03-07,Netflix Subscription,-649
2025-03-08,BESCOM Electricity Bill,-1200
2025-03-09,Swiggy Instamart Groceries,-850
2025-03-10,ATM Cash Withdrawal,-3000
2025-03-11,Reliance Fresh,-620
2025-03-12,Ola Cab,-180
2025-03-13,Spotify Premium,-119
2025-03-14,Apollo Pharmacy,-430
2025-03-15,Rent Payment UPI Transfer,-18000
2025-03-16,Zomato Food Delivery,-390
2025-03-17,Amazon Prime Subscription,-299
2025-03-18,Uber Cab Ride,-350
2025-03-19,Swiggy Order,-560
2025-03-20,PVR Cinemas BookMyShow,-480
2025-03-21,Decathlon Sports Shopping,-2100
2025-03-22,HDFC Credit Card Bill,-8000
2025-03-23,Cult Fit Membership,-899
2025-03-24,Swiggy Instamart,-450
2025-03-25,Freelance Payment Received,12000
2025-03-26,McDonald's UPI,-340
2025-03-27,Zepto Grocery,-680
2025-03-28,Jio Recharge,-239
2025-03-29,Uber Cab Ride,-260
2025-03-30,Swiggy Order,-720
2025-03-31,Meesho Shopping,-890
2025-04-01,Salary Credit NEFT HDFC,75000
2025-04-02,Swiggy Order,-410
2025-04-03,Airtel Bill,-599
2025-04-04,Zerodha SIP,-5000
2025-04-05,Amazon Order,-3200
2025-04-06,Ola Cab,-220
2025-04-07,Zomato Delivery,-560
2025-04-08,Netflix,-649
2025-04-09,BESCOM,-1200
2025-04-10,Swiggy Instamart,-920
2025-04-11,ATM Withdrawal,-5000
2025-04-12,Uber Cab,-180
2025-04-13,Hotstar Subscription,-299
2025-04-14,MedPlus Pharmacy,-380
2025-04-15,House Rent UPI,-18000
2025-04-16,Swiggy Order,-480
2025-04-17,Myntra Shopping,-1800
2025-04-18,Decathlon,-4500
2025-04-19,HDFC Credit Card EMI,-8000
2025-04-20,BookMyShow Tickets,-960
2025-04-21,Zomato Delivery,-720
2025-04-22,Zepto,-540
2025-04-23,Jio Recharge,-239
2025-04-24,Cult Fit,-899
2025-04-25,Swiggy Order,-380
2025-04-26,Amazon Order,-670
2025-04-27,Uber Cab,-290
2025-04-28,KFC UPI Payment,-580
2025-04-29,Groww Investment,-2000
2025-04-30,Swiggy Instamart,-750
2025-05-01,Salary Credit NEFT HDFC,75000
2025-05-02,Swiggy Order,-620
2025-05-03,Airtel Bill,-599
2025-05-04,Zerodha SIP,-5000
2025-05-05,Amazon Order,-5500
2025-05-06,Uber Cab,-320
2025-05-07,Zomato Delivery,-890
2025-05-08,Netflix,-649
2025-05-09,BESCOM,-1200
2025-05-10,ATM Withdrawal,-2000
2025-05-11,Swiggy Instamart,-1100
2025-05-12,Myntra Sale Shopping,-6800
2025-05-13,Hotstar,-299
2025-05-14,Apollo Pharmacy,-650
2025-05-15,House Rent UPI,-18000
